clustering accuracy: 0.678125, NMI: 0.8397782705010639, Purity: 0.703125,ARI: 0.5699673096283029,FScore: 0.0016216216216216215, Precision: 0.0014285714285714286, Recall: 0.001875lambda_1:0.001,lambda_2:5
clustering accuracy: 0.678125, NMI: 0.8397782705010639, Purity: 0.703125,ARI: 0.5699673096283029,FScore: 0.0016216216216216215, Precision: 0.0014285714285714286, Recall: 0.001875lambda_1:0.001,lambda_2:10
clustering accuracy: 0.678125, NMI: 0.8397782705010639, Purity: 0.703125,ARI: 0.5699673096283029,FScore: 0.0016216216216216215, Precision: 0.0014285714285714286, Recall: 0.001875lambda_1:0.001,lambda_2:20
clustering accuracy: 0.758125, NMI: 0.8842369075866209, Purity: 0.7775,ARI: 0.6653477855400658,FScore: 0.0015971917507678806, Precision: 0.0011811811811811813, Recall: 0.0025lambda_1:0.001,lambda_2:40
clustering accuracy: 0.881875, NMI: 0.9431989456863721, Purity: 0.88625,ARI: 0.8215676222978099,FScore: 0.0, Precision: 0.0, Recall: 0.0lambda_1:0.001,lambda_2:60
clustering accuracy: 0.87125, NMI: 0.9454840867206905, Purity: 0.881875,ARI: 0.8226692582795191,FScore: 0.0, Precision: 0.0, Recall: 0.0lambda_1:0.001,lambda_2:80
clustering accuracy: 0.67875, NMI: 0.8401539509554077, Purity: 0.70375,ARI: 0.5707679300930895,FScore: 0.0016216216216216215, Precision: 0.0014285714285714286, Recall: 0.001875lambda_1:0.01,lambda_2:5
clustering accuracy: 0.67875, NMI: 0.8401539509554077, Purity: 0.70375,ARI: 0.5707679300930895,FScore: 0.0016216216216216215, Precision: 0.0014285714285714286, Recall: 0.001875lambda_1:0.01,lambda_2:10
clustering accuracy: 0.67875, NMI: 0.8401539509554077, Purity: 0.70375,ARI: 0.5707679300930895,FScore: 0.0016216216216216215, Precision: 0.0014285714285714286, Recall: 0.001875lambda_1:0.01,lambda_2:20
clustering accuracy: 0.7575, NMI: 0.8826813377210562, Purity: 0.77625,ARI: 0.6642844842681584,FScore: 0.0015989159891598914, Precision: 0.0011894736842105263, Recall: 0.0025lambda_1:0.01,lambda_2:40
clustering accuracy: 0.88, NMI: 0.9421693602934822, Purity: 0.88375,ARI: 0.8199265425109341,FScore: 0.0, Precision: 0.0, Recall: 0.0lambda_1:0.01,lambda_2:60
clustering accuracy: 0.87375, NMI: 0.9457028468446325, Purity: 0.88375,ARI: 0.8247956051511264,FScore: 0.0, Precision: 0.0, Recall: 0.0lambda_1:0.01,lambda_2:80
clustering accuracy: 0.670625, NMI: 0.837417872228629, Purity: 0.7,ARI: 0.5622209617884462,FScore: 0.0015789473684210526, Precision: 0.0013636363636363635, Recall: 0.001875lambda_1:0.1,lambda_2:5
clustering accuracy: 0.670625, NMI: 0.837417872228629, Purity: 0.7,ARI: 0.5622209617884462,FScore: 0.0015789473684210526, Precision: 0.0013636363636363635, Recall: 0.001875lambda_1:0.1,lambda_2:10
clustering accuracy: 0.670625, NMI: 0.837417872228629, Purity: 0.7,ARI: 0.5622209617884462,FScore: 0.0015789473684210526, Precision: 0.0013636363636363635, Recall: 0.001875lambda_1:0.1,lambda_2:20
clustering accuracy: 0.726875, NMI: 0.864231131742249, Purity: 0.745625,ARI: 0.6266671763604045,FScore: 0.0013333333333333333, Precision: 0.0010344827586206897, Recall: 0.001875lambda_1:0.1,lambda_2:40
clustering accuracy: 0.8725, NMI: 0.9418860673469277, Purity: 0.881875,ARI: 0.814759091311134,FScore: 0.0, Precision: 0.0, Recall: 0.0lambda_1:0.1,lambda_2:60
clustering accuracy: 0.8725, NMI: 0.946623318183353, Purity: 0.881875,ARI: 0.823850513733078,FScore: 0.0, Precision: 0.0, Recall: 0.0lambda_1:0.1,lambda_2:80
clustering accuracy: 0.666875, NMI: 0.8304545439616117, Purity: 0.690625,ARI: 0.5517881750072663,FScore: 0.0010256410256410256, Precision: 0.0008695652173913043, Recall: 0.00125lambda_1:1,lambda_2:5
clustering accuracy: 0.666875, NMI: 0.8304545439616117, Purity: 0.690625,ARI: 0.5517881750072663,FScore: 0.0010256410256410256, Precision: 0.0008695652173913043, Recall: 0.00125lambda_1:1,lambda_2:10
clustering accuracy: 0.666875, NMI: 0.8304545439616117, Purity: 0.690625,ARI: 0.5517881750072663,FScore: 0.0010256410256410256, Precision: 0.0008695652173913043, Recall: 0.00125lambda_1:1,lambda_2:20
clustering accuracy: 0.67625, NMI: 0.8377191994193501, Purity: 0.6975,ARI: 0.5694548610183097,FScore: 0.001081081081081081, Precision: 0.0009523809523809524, Recall: 0.00125lambda_1:1,lambda_2:40
clustering accuracy: 0.678125, NMI: 0.8397782705010639, Purity: 0.703125,ARI: 0.5699673096283029,FScore: 0.0016, Precision: 0.0014, Recall: 0.0019lambda_1:0.001,lambda_2:5
clustering accuracy: 0.678125, NMI: 0.8397782705010639, Purity: 0.703125,ARI: 0.5699673096283029,FScore: 0.0016, Precision: 0.0014, Recall: 0.0019lambda_1:0.001,lambda_2:10
clustering accuracy: 0.678125, NMI: 0.8397782705010639, Purity: 0.703125,ARI: 0.5699673096283029,FScore: 0.0016, Precision: 0.0014, Recall: 0.0019lambda_1:0.001,lambda_2:5
